Student ID/CLID,fico_score
909013000A1GG801A,523
909013000A1GG801B,642
909013000A1GG801C,656
909013000A1GG801D,0
909013000A1GG801E,505
909013000A1GG801F,0
909013000A1GG801G,661
909013000A1GG801H,507
909013000A1GG801I,527
909013000A1GG801J,637
909013000A1GG801K,0
909013000A1GJ0004,748
909013000A1GG801L,623
909013000A1GG801M,727
909013000A1GG801N,0
909013000A1GG801O,581
909013000A1GG801P,680
909013000A1GG801Q,597
909013000A1GJ0005,545
909013000A1GG801R,459
909013000A1GG801S,727
909013000A1GG801T,474
909013000A1GG801U,0
909013000A1GG801V,656
909013000A1GG801W,559
909013000A1GG801X,615
909013000A1GG801Y,550
909013000A1GG801Z,0
909013000A1GG8020,485
909013000A1GG8021,514
909013000A1GG8022,723
909013000A1GG8023,544
909013000A1GJ0006,788
909013000A1HDK002,0
909013000A1GG8024,0
909013000A1GG8025,523
909013000A1GG8026,733
909013000A1HJ4001,0
909013000A1GG8027,530
909013000A1GOK00B,642
909013000A1GG8028,449
909013000A1GG8029,0
909013000A1GG802A,511
909013000A1GG802B,490
909013000A1GG802C,558
909013000A1GWW002,597
909013000A1GU4004,504
909013000A1GJ0007,504
909013000A1GG802D,641
909013000A1GG802E,0
909013000A1GRC00A,612
909013000A1GOK00D,0
909013000A1H80005,561
909013000A1GG802F,693
909013000A1GG802G,705
909013000A1GOK00F,527
909013000A1GJ000D,783
909013000A1GZO003,500
909013000A1GOK00N,656
909013000A1HDK004,625
909013000A1GRC00C,652
909013000A1GRC00D,0
909013000A1GOK00R,448
909013000A1GOK00S,537
909013000A1HX0001,499
909013000A1GU4005,0
909013000A1GRC00E,631
909013000A1GOK00Z,707
909013000A1GU4007,652
909013000A1GRC00H,701
909013000A1GRC00J,602
909013000A1GRC00L,573
909013000A1M5S001,541
909013000A1GRC00M,691
909013000A1GRC00O,542
909013000A1GRC00P,0
909013000A1HU8003,0
909013000A1GRC00Q,0
909013000A1GRC00R,792
909013000A1GRC00T,576
909013000A1GU400B,0
909013000A1HDK006,0
909013000A1HDK007,725
909013000A1GU400E,500
909013000A1GWW006,554
909013000A1GZO007,
909013000A1GWW00D,0
909013000A1HRG004,488
909013000A1GWW00G,0
909013000A1GWW00K,613
909013000A1GZO00A,563
909013000A1GZO00C,576
909013000A1HRG008,557
909013000A1H8000B,479
909013000A1H8000F,592
909013000A1H8000G,0
909013000A1HDK00B,0
909013000A1HAS004,558
909013000A1HGC003,623
909013000A1HX0003,635
