VEMOACCOUNTNUMBER,VEMOCONTRACTNUMBER,ASOFDATE,STATUS,STATUS_GROUP,DAYSPASTDUE
10007242,1000002220,2021-04-30,Payment,Post-Grace,0
10007242,1000002220,2021-05-31,Payment,Post-Grace,0
10007242,1000002220,2021-06-30,Payment,Post-Grace,0
10007242,1000002220,2021-07-31,Payment,Post-Grace,0
10007242,1000002220,2021-08-31,Payment,Post-Grace,16
10007242,1000002220,2021-09-30,Payment,Post-Grace,15
10007242,1000002220,2021-10-31,Payment,Post-Grace,16
10007242,1000002220,2021-11-30,Payment,Post-Grace,15
10007242,1000002220,2021-12-31,Payment,Post-Grace,16
10007242,1000002220,2022-01-31,Payment,Post-Grace,47
10007242,1000002220,2022-02-28,Payment,Post-Grace,75
10007242,1000002220,2022-03-31,Payment,Post-Grace,106
10007244,1000002222,2019-01-31,Fully Funded,In-School,0
10007244,1000002222,2019-02-28,Fully Funded,In-School,0
10007244,1000002222,2019-03-31,Fully Funded,In-School,0
10007244,1000002222,2019-04-30,Fully Funded,In-School,0
10007244,1000002222,2019-05-31,Fully Funded,In-School,0
10007244,1000002222,2019-06-30,Fully Funded,In-School,0
10007244,1000002222,2019-07-31,Fully Funded,In-School,0
10007244,1000002222,2019-08-31,Fully Funded,In-School,0
10007244,1000002222,2019-09-30,Fully Funded,In-School,0
10007244,1000002222,2019-10-31,Grace,Grace,0
10007244,1000002222,2019-11-30,Grace,Grace,0
10007244,1000002222,2019-12-31,Grace,Grace,0
10007244,1000002222,2020-01-31,Payment,Post-Grace,0
10007244,1000002222,2020-02-29,Payment,Post-Grace,0
10007244,1000002222,2020-03-31,Payment,Post-Grace,0
10007244,1000002222,2020-04-30,Payment,Post-Grace,0
10007244,1000002222,2020-05-31,Payment,Post-Grace,0
10007244,1000002222,2020-06-30,Payment,Post-Grace,0
10007244,1000002222,2020-07-31,Payment,Post-Grace,30
10007244,1000002222,2020-08-31,Payment,Post-Grace,30
10007244,1000002222,2020-09-30,Payment,Post-Grace,0
10007244,1000002222,2020-10-31,Payment,Post-Grace,0
10007244,1000002222,2020-11-30,Payment,Post-Grace,0
10007244,1000002222,2020-12-31,Payment,Post-Grace,0
10007244,1000002222,2021-01-31,Payment,Post-Grace,0
10007244,1000002222,2021-02-28,Payment,Post-Grace,0
10007244,1000002222,2021-03-31,Payment,Post-Grace,0
10007244,1000002222,2021-04-30,Payment,Post-Grace,0
10007244,1000002222,2021-05-31,Payment,Post-Grace,0
10007244,1000002222,2021-06-30,Payment,Post-Grace,0
10007244,1000002222,2021-07-31,Payment,Post-Grace,0
10007244,1000002222,2021-08-31,Payment,Post-Grace,0
10007244,1000002222,2021-09-30,Payment,Post-Grace,0
10007244,1000002222,2021-10-31,Payment,Post-Grace,0
10007244,1000002222,2021-11-30,Payment,Post-Grace,0
10007244,1000002222,2021-12-31,Payment,Post-Grace,0
10007244,1000002222,2022-01-31,Payment,Post-Grace,0
10007244,1000002222,2022-02-28,Payment,Post-Grace,0
10007244,1000002222,2022-03-31,Payment,Post-Grace,0
10007245,1000002223,2019-01-31,Payment,Post-Grace,0
10007245,1000002223,2019-02-28,Deferment,Post-Grace,0
10007245,1000002223,2019-03-31,Deferment,Post-Grace,0
10007245,1000002223,2019-04-30,Deferment,Post-Grace,0
10007245,1000002223,2019-05-31,Deferment,Post-Grace,0
10007245,1000002223,2019-06-30,Deferment,Post-Grace,0
10007245,1000002223,2019-07-31,Deferment,Post-Grace,0
10007245,1000002223,2019-08-31,Deferment,Post-Grace,0
10007245,1000002223,2019-09-30,Deferment,Post-Grace,0
10007245,1000002223,2019-10-31,Deferment,Post-Grace,0
10007245,1000002223,2019-11-30,Deferment,Post-Grace,0
10007245,1000002223,2019-12-31,Deferment,Post-Grace,0
10007245,1000002223,2020-01-31,Deferment,Post-Grace,0
10007245,1000002223,2020-02-29,Deferment,Post-Grace,0
10007245,1000002223,2020-03-31,Deferment,Post-Grace,0
10007245,1000002223,2020-04-30,Deferment,Post-Grace,0
10007245,1000002223,2020-05-31,Deferment,Post-Grace,0
10007245,1000002223,2020-06-30,Payment,Post-Grace,0
10007245,1000002223,2020-07-31,Payment,Post-Grace,30
10007245,1000002223,2020-08-31,Payment,Post-Grace,61
10007245,1000002223,2020-09-30,Payment,Post-Grace,91
10007245,1000002223,2020-10-31,Deferment,Post-Grace,0
10007245,1000002223,2020-11-30,Deferment,Post-Grace,0
10007245,1000002223,2020-12-31,Deferment,Post-Grace,0
10007245,1000002223,2021-01-31,Deferment,Post-Grace,0
10007245,1000002223,2021-02-28,Deferment,Post-Grace,0
10007245,1000002223,2021-03-31,Deferment,Post-Grace,0
10007245,1000002223,2021-04-30,Deferment,Post-Grace,0
10007245,1000002223,2021-05-31,Deferment,Post-Grace,0
10007245,1000002223,2021-06-30,Deferment,Post-Grace,0
10007245,1000002223,2021-07-31,Deferment,Post-Grace,0
10007245,1000002223,2021-08-31,Deferment,Post-Grace,0
10007245,1000002223,2021-09-30,Deferment,Post-Grace,0
10007245,1000002223,2021-10-31,Deferment,Post-Grace,0
10007245,1000002223,2021-11-30,Deferment,Post-Grace,0
10007245,1000002223,2021-12-31,Deferment,Post-Grace,0
10007245,1000002223,2022-01-31,Deferment,Post-Grace,0
10007245,1000002223,2022-02-28,Deferment,Post-Grace,0
10007245,1000002223,2022-03-31,Deferment,Post-Grace,0
10007246,1000002224,2019-01-31,Fully Funded,In-School,0
10007246,1000002224,2019-02-28,Fully Funded,In-School,0
10007246,1000002224,2019-03-31,Fully Funded,In-School,0
10007246,1000002224,2019-04-30,Fully Funded,In-School,0
10007246,1000002224,2019-05-31,Grace,Grace,0
10007246,1000002224,2019-06-30,Grace,Grace,0
10007246,1000002224,2019-07-31,Grace,Grace,0
10007246,1000002224,2019-08-31,Payment,Post-Grace,0
10007246,1000002224,2019-09-30,Payment,Post-Grace,0
10007246,1000002224,2019-10-31,Payment,Post-Grace,0
10007246,1000002224,2019-11-30,Payment,Post-Grace,0
10007246,1000002224,2019-12-31,Payment,Post-Grace,0
10007246,1000002224,2020-01-31,Payment,Post-Grace,0
10007246,1000002224,2020-02-29,Payment,Post-Grace,0
10007246,1000002224,2020-03-31,Payment,Post-Grace,0
10007246,1000002224,2020-04-30,Payment,Post-Grace,0
10007246,1000002224,2020-05-31,Payment,Post-Grace,0
10007246,1000002224,2020-06-30,Payment,Post-Grace,0
10007246,1000002224,2020-07-31,Payment,Post-Grace,0
10007246,1000002224,2020-08-31,Payment,Post-Grace,0
10007246,1000002224,2020-09-30,Payment,Post-Grace,0
10007246,1000002224,2020-10-31,Payment,Post-Grace,0
10007246,1000002224,2020-11-30,Payment,Post-Grace,0
10007246,1000002224,2020-12-31,Payment,Post-Grace,0
10007246,1000002224,2021-01-31,Payment,Post-Grace,0
10007246,1000002224,2021-02-28,Payment,Post-Grace,0
10007246,1000002224,2021-03-31,Payment,Post-Grace,0
10007246,1000002224,2021-04-30,Payment,Post-Grace,0
10007246,1000002224,2021-05-31,Deferment,Post-Grace,0
10007246,1000002224,2021-06-30,Deferment,Post-Grace,0
10007246,1000002224,2021-07-31,Deferment,Post-Grace,0
10007246,1000002224,2021-08-31,Deferment,Post-Grace,0
